# epsilon,alpha,estimated_value,lower_bound,upper_bound,exact_value
1.000000000000000021e-03,1.000000000000000021e-02,1.687569006262399085e-01,1.682871444722125465e-01,1.692266567802672705e-01,1.622760935008731586e-01
1.000000000000000021e-03,2.000000000000000042e-02,1.679854103345110317e-01,1.658604264204629752e-01,1.701103942485591158e-01,1.622760935008731586e-01
1.000000000000000021e-03,2.999999999999999889e-02,1.690128105550875726e-01,1.675980341452249223e-01,1.704275869649500841e-01,1.622760935008731586e-01
1.000000000000000021e-03,4.000000000000000083e-02,1.681210404940065017e-01,1.661439439398151863e-01,1.700981370481976784e-01,1.622760935008731586e-01
1.000000000000000021e-03,5.000000000000000278e-02,1.689798765559727134e-01,1.675519976662966093e-01,1.704077554456488175e-01,1.622760935008731586e-01
2.000000000000000042e-03,1.000000000000000021e-02,1.688075685024660322e-01,1.666826843434948136e-01,1.709324526614372508e-01,1.622760935008731586e-01
2.000000000000000042e-03,2.000000000000000042e-02,1.688586872244803860e-01,1.668487965695824582e-01,1.708685778793784249e-01,1.622760935008731586e-01
2.000000000000000042e-03,2.999999999999999889e-02,1.689899549617978058e-01,1.676875908527108161e-01,1.702923190708848233e-01,1.622760935008731586e-01
2.000000000000000042e-03,4.000000000000000083e-02,1.682076268589577928e-01,1.669473112065354425e-01,1.694679425113801430e-01,1.622760935008731586e-01
2.000000000000000042e-03,5.000000000000000278e-02,1.693868671789354186e-01,1.685034810305673925e-01,1.702702533273034724e-01,1.622760935008731586e-01
3.000000000000000062e-03,1.000000000000000021e-02,1.687065607700504732e-01,1.671360938683110753e-01,1.702770276717900100e-01,1.622760935008731586e-01
3.000000000000000062e-03,2.000000000000000042e-02,1.682076416431116661e-01,1.668966567891419783e-01,1.695186264970813261e-01,1.622760935008731586e-01
3.000000000000000062e-03,2.999999999999999889e-02,1.685507673387140193e-01,1.669156665764231773e-01,1.701858681010048890e-01,1.622760935008731586e-01
3.000000000000000062e-03,4.000000000000000083e-02,1.689485847473902735e-01,1.625818037089701018e-01,1.753153657858103065e-01,1.622760935008731586e-01
3.000000000000000062e-03,5.000000000000000278e-02,1.673693309919847549e-01,1.632069565162879710e-01,1.715317054676815667e-01,1.622760935008731586e-01
4.000000000000000083e-03,1.000000000000000021e-02,1.693017793753644751e-01,1.618852299349814172e-01,1.767183288157476717e-01,1.622760935008731586e-01
4.000000000000000083e-03,2.000000000000000042e-02,1.688463656382698241e-01,1.671684462360325529e-01,1.705242850405070676e-01,1.622760935008731586e-01
4.000000000000000083e-03,2.999999999999999889e-02,1.702818829866483974e-01,1.639149078707703433e-01,1.766488581025263405e-01,1.622760935008731586e-01
4.000000000000000083e-03,4.000000000000000083e-02,1.674495893816255188e-01,1.610080066416287869e-01,1.738911721216220840e-01,1.622760935008731586e-01
4.000000000000000083e-03,5.000000000000000278e-02,1.689403549326915499e-01,1.629410811440422380e-01,1.749396287213407508e-01,1.622760935008731586e-01
5.000000000000000104e-03,1.000000000000000021e-02,1.657825604221379034e-01,1.588272658171332730e-01,1.727378550271426449e-01,1.622760935008731586e-01
5.000000000000000104e-03,2.000000000000000042e-02,1.712491147673637359e-01,1.644508216742832929e-01,1.780474078604442068e-01,1.622760935008731586e-01
5.000000000000000104e-03,2.999999999999999889e-02,1.712603832061725673e-01,1.647567294040657437e-01,1.777640370082795296e-01,1.622760935008731586e-01
5.000000000000000104e-03,4.000000000000000083e-02,1.676222838935521875e-01,1.628966709060494511e-01,1.723478968810548129e-01,1.622760935008731586e-01
5.000000000000000104e-03,5.000000000000000278e-02,1.684876640412463211e-01,1.626552761254657919e-01,1.743200519570269058e-01,1.622760935008731586e-01
6.000000000000000125e-03,1.000000000000000021e-02,1.649767441326411010e-01,1.552810000328026796e-01,1.746724882324796613e-01,1.622760935008731586e-01
6.000000000000000125e-03,2.000000000000000042e-02,1.693946975158915069e-01,1.630279142788130242e-01,1.757614807529700174e-01,1.622760935008731586e-01
6.000000000000000125e-03,2.999999999999999889e-02,1.692073460134242979e-01,1.605154429016117101e-01,1.778992491252370522e-01,1.622760935008731586e-01
6.000000000000000125e-03,4.000000000000000083e-02,1.697330957800693985e-01,1.640788791371953492e-01,1.753873124229434755e-01,1.622760935008731586e-01
6.000000000000000125e-03,5.000000000000000278e-02,1.687444411734697058e-01,1.640936311422186156e-01,1.733952512047209349e-01,1.622760935008731586e-01
7.000000000000000146e-03,1.000000000000000021e-02,1.643593434136506326e-01,1.576222751791636345e-01,1.710964116481374642e-01,1.622760935008731586e-01
7.000000000000000146e-03,2.000000000000000042e-02,1.669070112567323794e-01,1.619669613941985831e-01,1.718470611192662034e-01,1.622760935008731586e-01
7.000000000000000146e-03,2.999999999999999889e-02,1.675862049246564234e-01,1.616223907935717130e-01,1.735500190557411060e-01,1.622760935008731586e-01
7.000000000000000146e-03,4.000000000000000083e-02,1.693426965686396224e-01,1.633261962439979953e-01,1.753591968932812495e-01,1.622760935008731586e-01
7.000000000000000146e-03,5.000000000000000278e-02,1.671300857728585387e-01,1.609660959738162533e-01,1.732940755719009351e-01,1.622760935008731586e-01
8.000000000000000167e-03,1.000000000000000021e-02,1.698444915461778948e-01,1.631991364388155064e-01,1.764898466535401167e-01,1.622760935008731586e-01
8.000000000000000167e-03,2.000000000000000042e-02,1.693904650139288481e-01,1.632282457489609706e-01,1.755526842788965869e-01,1.622760935008731586e-01
8.000000000000000167e-03,2.999999999999999889e-02,1.689374416514214106e-01,1.630743643721132285e-01,1.748005189307296758e-01,1.622760935008731586e-01
8.000000000000000167e-03,4.000000000000000083e-02,1.677567984149015701e-01,1.615121070930947145e-01,1.740014897367085922e-01,1.622760935008731586e-01
8.000000000000000167e-03,5.000000000000000278e-02,1.684011834381314299e-01,1.626780599156009977e-01,1.741243069606619731e-01,1.622760935008731586e-01
9.000000000000001055e-03,1.000000000000000021e-02,1.674411207119692324e-01,1.605817909499639984e-01,1.743004504739746330e-01,1.622760935008731586e-01
9.000000000000001055e-03,2.000000000000000042e-02,1.670884835057734052e-01,1.603874697217929912e-01,1.737894972897538193e-01,1.622760935008731586e-01
9.000000000000001055e-03,2.999999999999999889e-02,1.671246436658961609e-01,1.613497708698015953e-01,1.728995164619907543e-01,1.622760935008731586e-01
9.000000000000001055e-03,4.000000000000000083e-02,1.656093287899329802e-01,1.598073107897753642e-01,1.714113467900905685e-01,1.622760935008731586e-01
9.000000000000001055e-03,5.000000000000000278e-02,1.698314954427099788e-01,1.642017126253418335e-01,1.754612782600781240e-01,1.622760935008731586e-01
1.000000000000000021e-02,1.000000000000000021e-02,1.707252659670870087e-01,1.642314490550864925e-01,1.772190828790875250e-01,1.622760935008731586e-01
1.000000000000000021e-02,2.000000000000000042e-02,1.686428348695466206e-01,1.605336915685716681e-01,1.767519781705217119e-01,1.622760935008731586e-01
1.000000000000000021e-02,2.999999999999999889e-02,1.658064862100313286e-01,1.613343490689402582e-01,1.702786233511224268e-01,1.622760935008731586e-01
1.000000000000000021e-02,4.000000000000000083e-02,1.785777814554463661e-01,1.567851694608144164e-01,2.003703934500781769e-01,1.622760935008731586e-01
1.000000000000000021e-02,5.000000000000000278e-02,1.661506994793780778e-01,1.448923055191546905e-01,1.874090934396014374e-01,1.622760935008731586e-01
